ars_price_day,p_host_response_rate,n_accommodates,n_bathrooms,n_review_scores_rating,n_number_of_reviews,n_reviews_per_month,n_minimum_nights,n_beds,n_days_since,d_free_parking,d_cloth_storage,d_sound_system,d_children,d_barbecue,d_cooking,d_amendities,d_ac,d_baby_utilities,d_bath,d_location,d_bike,d_security,d_mandatory_cleaning,d_coffee_maker,d_fridge,d_office,d_laundry,d_wifi,d_eletric_car_charger,d_videogame,d_garden_balcony_backyard,d_luggage_storage,d_paid_parking,d_pets,d_swimming_pool,d_self_checkin,d_sauna,d_smoking,d_instant_bookable,f_neighbourhood_cleansed,f_property_type,price,id,ln_price,n_accommodates2,ln_accommodates,ln_accommodates2,ln_beds,f_bathroom,ln_number_of_reviews,f_number_of_reviews,ln_days_since,ln_days_since2,ln_days_since3,n_days_since2,n_days_since3,ln_review_scores_rating,ln_n_minimum_nights,f_minimum_nights,ln_n_reviews_per_month
2842,NA,3,1,96,90,0.87,5,1,3089,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,Palermo,Entire apartment,"$2,842.00",14222,7.952263308657046,9,1.0986122886681098,1.206948960812582,0,1,4.51085950651685,2,8.035602692918582,64.57091063844037,518.8661834104565,9541921,29474993969,4.564348191467836,1.6094379124341003,3,-0.13926206733350766
2832,NA,3,1,100,7,0.06,3,2,3458,0,0,0,0,0,1,1,1,0,1,0,0,1,1,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,1,San Nicolas,Entire apartment,"$2,832.00",17993,7.94873845481361,9,1.0986122886681098,1.206948960812582,0.6931471805599453,1,2.0794415416798357,1,8.148445666243235,66.39716677571816,541.03370586443,11957764,41349947912,4.605170185988092,1.0986122886681098,3,-2.8134107167600364
4165,100,2,1.5,NA,0,NA,15,2,NA,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Palermo,Entire apartment,"$4,165.00",19642,8.334471554600944,4,0.6931471805599453,0.4804530139182014,0.6931471805599453,1,0,0,NA,NA,NA,NA,NA,NA,2.70805020110221,3,NA
2915,NA,2,1,NA,0,NA,15,1,NA,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,Constitucion,Entire apartment,"$2,915.00",20429,7.977625098784593,4,0.6931471805599453,0.4804530139182014,0,1,0,0,NA,NA,NA,NA,NA,NA,2.70805020110221,3,NA
4165,NA,2,1,NA,0,NA,6,1,NA,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,San Telmo,Entire apartment,"$4,165.00",21807,8.334471554600944,4,0.6931471805599453,0.4804530139182014,0,1,0,0,NA,NA,NA,NA,NA,NA,1.791759469228055,3,NA
4998,NA,2,1,NA,0,NA,3,2,NA,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Monserrat,Entire apartment,"$4,998.00",21837,8.516793111394898,4,0.6931471805599453,0.4804530139182014,0.6931471805599453,1,0,0,NA,NA,NA,NA,NA,NA,1.0986122886681098,3,NA
1666,100,4,1,93,343,3.63,1,3,2832,0,0,0,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,San Nicolas,Entire apartment,"$1,666.00",24713,7.418180822726788,16,1.3862943611198906,1.9218120556728056,1.0986122886681098,1,5.840641657373398,2,7.94873845481361,63.18244302303266,502.22071452624965,8020224,22713274368,4.532599493153256,0,1,1.2892326482767593
2915,NA,4,1.5,70,2,0.02,7,2,3720,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,Balvanera,Entire apartment,"$2,915.00",26258,7.977625098784593,16,1.3862943611198906,1.9218120556728056,0.6931471805599453,1,1.0986122886681098,1,8.221478947267192,67.59271608035766,555.7120922432691,13838400,51478848000,4.248495242049359,1.9459101490553132,3,-3.912023005428146
1999,NA,2,1,100,1,0.21,4,1,143,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,Retiro,Entire apartment,"$1,999.00",26839,7.6004023345004,4,0.6931471805599453,0.4804530139182014,0,1,0.6931471805599453,1,4.962844630259907,24.62982682409959,122.23400379821408,20449,2924207,4.605170185988092,1.3862943611198906,3,-1.5606477482646683
1797,100,3,1,93,97,0.77,2,3,3787,1,0,0,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,Recoleta,Entire apartment,"$1,797.00",27631,7.493873886783559,9,1.0986122886681098,1.206948960812582,1.0986122886681098,1,4.584967478670572,2,8.239329427901795,67.88654942148852,559.33964440718,14341369,54310764403,4.532599493153256,0.6931471805599453,2,-0.2613647641344075
