"","x"
"1","id"
"2","listing_url"
"3","scrape_id"
"4","last_scraped"
"5","name"
"6","description"
"7","neighborhood_overview"
"8","picture_url"
"9","host_id"
"10","host_url"
"11","host_name"
"12","host_since"
"13","host_location"
"14","host_about"
"15","host_response_time"
"16","host_response_rate"
"17","host_acceptance_rate"
"18","host_is_superhost"
"19","host_thumbnail_url"
"20","host_picture_url"
"21","host_neighbourhood"
"22","host_listings_count"
"23","host_total_listings_count"
"24","host_verifications"
"25","host_has_profile_pic"
"26","host_identity_verified"
"27","neighbourhood"
"28","neighbourhood_cleansed"
"29","neighbourhood_group_cleansed"
"30","latitude"
"31","longitude"
"32","property_type"
"33","room_type"
"34","accommodates"
"35","bathrooms"
"36","bedrooms"
"37","beds"
"38","price"
"39","minimum_nights"
"40","maximum_nights"
"41","minimum_minimum_nights"
"42","maximum_minimum_nights"
"43","minimum_maximum_nights"
"44","maximum_maximum_nights"
"45","minimum_nights_avg_ntm"
"46","maximum_nights_avg_ntm"
"47","calendar_updated"
"48","has_availability"
"49","availability_30"
"50","availability_60"
"51","availability_90"
"52","availability_365"
"53","calendar_last_scraped"
"54","number_of_reviews"
"55","number_of_reviews_ltm"
"56","number_of_reviews_l30d"
"57","first_review"
"58","last_review"
"59","review_scores_rating"
"60","review_scores_accuracy"
"61","review_scores_cleanliness"
"62","review_scores_checkin"
"63","review_scores_communication"
"64","review_scores_location"
"65","review_scores_value"
"66","license"
"67","instant_bookable"
"68","calculated_host_listings_count"
"69","calculated_host_listings_count_entire_homes"
"70","calculated_host_listings_count_private_rooms"
"71","calculated_host_listings_count_shared_rooms"
"72","reviews_per_month"
"73","ars_price_day"
"74","p_host_response_rate"
"75","n_accommodates"
"76","n_bathrooms"
"77","n_review_scores_rating"
"78","n_number_of_reviews"
"79","n_reviews_per_month"
"80","n_minimum_nights"
"81","n_beds"
"82","n_days_since"
"83"," 1 space"
"84"," 100 spaces"
"85"," Amazon Prime Video"
"86"," and closet"
"87"," and desk"
"88"," and wardrobe"
"89"," Apple TV"
"90"," Casette y USB sound system with aux"
"91"," chico"
"92"," Chromecast"
"93"," con dos rejillas de acero inoxidable y una asadera. Parrilla con asadera con rejilla de acero inoxidable. oven"
"94"," dresser"
"95"," el\u00e9ctrico  stainless steel oven"
"96"," electrico stainless steel oven"
"97"," encendido autom\u00e1tico"
"98"," exprimidor el\u00e9ctrico y tostadora electric stove"
"99"," HBO Max"
"100"," horno autolimpiante con luz"
"101"," LOreal shampoo"
"102"," Netflix"
"103"," premium cable"
"104"," standard cable"
"105"," table"
"106","2 hornallas marca Glenn y horno aparte electric stove"
"107","21\ TV with Chromecast"
"108","22\ HDTV with standard cable"
"109","24\ HDTV"
"110","24\ HDTV with premium cable"
"111","32\ HDTV"
"112","32\ HDTV with Chromecast"
"113","32\ HDTV with Netflix"
"114","32\ HDTV with premium cable"
"115","32\ HDTV with standard cable"
"116","32\ TV with standard cable"
"117","40\ HDTV with Chromecast"
"118","40\ HDTV with premium cable"
"119","40\ HDTV with standard cable"
"120","42\ HDTV with Chromecast"
"121","42\ HDTV with Netflix"
"122","42\ HDTV with standard cable"
"123","43\ HDTV with Netflix"
"124","47\ HDTV with Chromecast"
"125","50\ HDTV with Chromecast"
"126","50\ HDTV with Netflix"
"127","Air conditioning"
"128","AIWA sound system with Bluetooth and aux"
"129","All vegan and natural products conditioner"
"130","All vegan and natural products shampoo"
"131","All Vegan natural products conditioner"
"132","All Vegan natural products shampoo"
"133","anafe de vitroceramica electric stove"
"134","ANAFE DOS HORNALLAS stainless steel gas stove"
"135","anafe vitroceramico electric stove"
"136","Anti Bacterial body soap"
"137","Antibacterial body soap"
"138","Ariston"
"139","ariston stainless steel gas stove"
"140","Ariston stainless steel gas stove"
"141","ariston stainless steel oven"
"142","Atma stainless steel oven"
"143","Baby bath"
"144","Baby monitor"
"145","Baby safety gates"
"146","Babysitter recommendations"
"147","Baking sheet"
"148","Barbecue utensils"
"149","Bathroom essentials"
"150","Bathtub"
"151","BBQ grill"
"152","Beach essentials"
"153","Beachfront"
"154","Bed linens"
"155","Bedroom comforts"
"156","Bidet"
"157","Bikes"
"158","Bluetooth sound system"
"159","Board games"
"160","Body soap"
"161","Bont\u00e9 o similar conditioner"
"162","Bont\u00e9 o similar shampoo"
"163","Bos\u00e9 sound system with Bluetooth and aux"
"164","Bose sound system with aux"
"165","Bread maker"
"166","Breakfast"
"167","Building staff"
"168","Cable TV"
"169","Carbon monoxide alarm"
"170","Ceiling fan"
"171","Central air conditioning"
"172","Central heating"
"173","Changing table"
"174","Children\u2019s books and toys"
"175","Children\u2019s dinnerware"
"176","Cleaning before checkout"
"177","Cleaning products"
"178","Clothing storage"
"179","Clothing storage: closet"
"180","Clothing storage: closet and wardrobe"
"181","Clothing storage: wardrobe"
"182","Clothing storage: wardrobe and closet"
"183","cocina a gas con hornallas y horno oven"
"184","cocina a gas WHIRPOOL WFB56DB cuatro hornallas"
"185","Cocina Doble Horno Electrolux 56DTX //www.youtube.com/watch?v=ecb-ciq4d8Q stainless steel oven"
"186","Coffee maker"
"187","Con freezer refrigerator"
"188","Con Freezer refrigerator"
"189","Conditioner"
"190","Cooking basics"
"191","Crib"
"192","Dedicated workspace"
"193","Dedicated workspace: desk"
"194","Dedicated workspace: office chair"
"195","Dedicated workspace: table"
"196","Dining table"
"197","Dishes and silverware"
"198","Dishwasher"
"199","Domec oven"
"200","Domec stainless steel electric stove"
"201","Domec stainless steel gas stove"
"202","Domec stainless steel oven"
"203","dos heladeras whirpool y doble puerta general electric refrigerator"
"204","Dove  body soap"
"205","dove body soap"
"206","Dove body soap"
"207","DOVE body soap"
"208","Dove conditioner"
"209","Dove shampoo"
"210","Dryer"
"211","Dryer \u2013 In building"
"212","Dryer \u2013\u00a0In unit"
"213","Drying rack for clothing"
"214","duke o  rexona body soap"
