"","rating_count","price","stars","ratingta","ratingta_count","scarce_room","hotel_id","offer","distance","distance_alter","rating","log_price","neighbourhood_f","offer_cat_f","accommodation_type_f","ratingta_flag","ratingta_count_flag","rating_count_flag","rating_flag","gbm_prediction","gbm_prediction_res","bestdeals"
"1",53,85,4,3.5,629,0,21901,1,1.4,2.5,3.7,4.44265125649032,"Alsergrund","15-50% offer","Hotel",0,0,0,0,4.50665385898656,-0.0640026024962408,FALSE
"2",55,83,3,4,52,0,21902,1,1.7,2.5,4,4.4188406077966,"Alsergrund","15-50% offer","Hotel",0,0,0,0,4.43052885941936,-0.0116882516227639,FALSE
"3",33,82,4,3.5,219,1,21903,1,1.2,2.8,3.9,4.40671924726425,"Alsergrund","15-50% offer","Hotel",0,0,0,0,4.40121358600342,0.0055056612608313,FALSE
"4",25,229,5,4.5,27,1,21904,1,0.9,3,4.8,5.43372200355424,"Alsergrund","1-15% offer","Apartment",0,0,0,0,5.28927330046994,0.1444487030843,FALSE
"5",57,103,4,3.5,251,1,21906,0,0.9,2.4,3.9,4.63472898822964,"Alsergrund","0% no offer","Hotel",0,0,0,0,4.56773805556734,0.0669909326622999,FALSE
"6",161,150,4,4.5,617,0,21907,0,1,2.7,4.6,5.01063529409626,"Alsergrund","0% no offer","Hotel",0,0,0,0,4.84690182135137,0.163733472744886,FALSE
"7",50,80,2,3.5,146,1,21908,1,0.7,2.7,3.5,4.38202663467388,"Alsergrund","1-15% offer","Hotel",0,0,0,0,4.69244548790772,-0.31041885323384,FALSE
"8",0,153,3,0,0,1,21910,1,1.5,2.7,0,5.03043792139244,"Alsergrund","15-50% offer","Apartment",0,0,0,0,5.04075803295108,-0.0103201115586495,FALSE
"9",203,60,4,4,359,1,21912,1,1.1,2.7,4.1,4.0943445622221,"Alsergrund","1-15% offer","Hotel",0,0,0,0,4.46217226303675,-0.367827700814653,FALSE
"10",251,128,4,4,829,0,21913,0,0.8,2.9,4,4.85203026391962,"Alsergrund","0% no offer","Hotel",0,0,0,0,4.80115373118762,0.050876532731996,FALSE
"11",142,100,4,4,55,1,21914,1,1,2.3,4.5,4.60517018598809,"Alsergrund","15-50% offer","Apartment",0,0,0,0,4.50251701300637,0.102653172981724,FALSE
